rowid,dataset,_link,_link_activity,_link_activity_label,prefix,iatiidentifier,reportingorg_ref,ref,locationreach_code,locationreach_codename,name_narrative,description_narrative,activitydescription_narrative,administrative,point_srsName,point_pos,exactness_code,exactness_codename,locationclass,locationclass_code,locationclass_codename,featuredesignation_code,featuredesignation_codename,percentage,recipientcountry_codename,Sector
533994,iadb-br,289631.location.6,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,S o Paulo,Santo Andr ",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.6533509, -46.5279039",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533995,iadb-br,289631.location.7,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,S o Paulo,Santo Andr ,Santo Andr ",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.6521042, -46.5281802",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533996,iadb-br,289631.location.8,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,S o Paulo,Santo Andr ,Santos",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.70117225, -46.5045015202442",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533997,iadb-br,289631.location.9,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,S o Paulo,Santos",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.9335988, -46.3286399",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533998,iadb-br,289631.location.10,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,S o Paulo,Santos,Santo Andr ",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-24.1585109, -46.7732084",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533999,iadb-br,289631.location.11,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,S o Paulo,Santos,Santos",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.86466765, -46.2902656548411",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
534000,iadb-br,289631.location.12,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,S o Paulo,S o Paulo",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.5506507, -46.6333824",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533987,iadb-gy,289831.location.0,289831,289831,iadb,XI-IATI-IADB-GY-L1036,XI-IATI-IADB,,1,Activity,"Guyana,Linden",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"6.0100019, -58.312488",2,Approximate,,,,PPLC,capital of a political entity,,Guyana,WATER AND SANITATION
533991,iadb-br,289762.location.0,289762,289762,iadb,XI-IATI-IADB-BR-L1327,XI-IATI-IADB,,1,Activity,"Brazil,Centro",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-7.017749, -37.945295",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,EDUCATION
534004,iadb-br,289762.location.1,289762,289762,iadb,XI-IATI-IADB-BR-L1327,XI-IATI-IADB,,1,Activity,"Brazil,Para",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-4.7493933, -52.8973006",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,EDUCATION
